Id;Name;Name2
DABOE;Daboecia D. Don;(Daboecia D. Don)
DABOE_CAN;Daboecia cantabrica (Huds.) K. Koch;(Daboecia cantabrica (Huds.) K. Koch)
DACRD;Dacrydium Lamb.;(Dacrydium Lamb.)
DACRD_BID;Dacrydium bidwillii;(Dacrydium bidwillii)
DACRD_BIF;Dacrydium biforme;(Dacrydium biforme)
DACRD_COL;Dacrydium colensoi Hook.;(Dacrydium colensoi Hook.)
DACRD_CUP;Dacrydium cupressinum Sol. ex Lamb.;(Dacrydium cupressinum Sol. ex Lamb.)
DACRD_INT;Dacrydium intermedium Kirk;(Dacrydium intermedium Kirk)
DACRD_KIR;Dacrydium kirkii;(Dacrydium kirkii)
DACRD_LAX;Dacrydium laxifolium Hook. f.;(Dacrydium laxifolium Hook. f.)
DACRY;Dacrycarpus;(Dacrycarpus)
DACRY_DAC;Dacrycarpus dacrydioides (A. Rich.) de Laub.;(Dacrycarpus dacrydioides (A. Rich.) de Laub.)
DACTY;Dactylicapnos Wall.;(Dactylicapnos Wall.)
DACTY_SCA;Dactylicapnos scandens (D. Don) Hutch.;(Dactylicapnos scandens (D. Don) Hutch.)
DAEMO;Daemonorops Blume;(Daemonorops Blume)
DAHLI;Dahlia Cav.;(Dahlia Cav.)
DAHLI_COC;Dahlia coccinea Cav.;(Dahlia coccinea Cav.)
DAHLI_CPI;Dahlia x hortensis Guillaumin;(Dahlia x hortensis Guillaumin)
DAHLI_CUL;Dahlia x cultorum Thorsr. et Reis.;(Dahlia x cultorum Thorsr. et Reis.)
DAHLI_DIS;Dahlia dissecta S. Watson;(Dahlia dissecta S. Watson)
DAHLI_DRU;Dahlia dissecta x Dahlia rupicola;(Dahlia dissecta x Dahlia rupicola)
DAHLI_PIN;Dahlia pinnata Cav.;(Dahlia pinnata Cav.)
DAHLI_RUP;Dahlia rupicola P. D. Sorensen;(Dahlia rupicola P. D. Sorensen)
DALBE;Dalbergia;(Dalbergia)
DALBE_BAR;Dalbergia baronii Baker;(Dalbergia baronii Baker)
DALBE_LAT;Dalbergia latifolia Roxb.;(Dalbergia latifolia Roxb.)
DALBE_NIG;Dalbergia nigra (Vell.) Allemao ex Benth.;(Dalbergia nigra (Vell.) Allemao ex Benth.)
DALBE_RET;Dalbergia retusa Hemsl.;(Dalbergia retusa Hemsl.)
DALBE_SIS;Dalbergia sissoo Roxb. ex DC.;(Dalbergia sissoo Roxb. ex DC.)
DALBE_STE;Dalbergia stevensonii Standl.;(Dalbergia stevensonii Standl.)
DALBE_TRI;Dalbergia trichocarpa Baker;(Dalbergia trichocarpa Baker)
DALEC;Dalechampia L.;(Dalechampia L.)
DAMPI;Dampiera R. Br.;(Dampiera R. Br.)
DAMPI_TER;Dampiera teres Lindl.;(Dampiera teres Lindl.)
DANTH;Danthonia;(Danthonia)
DANTH_LIN;Danthonia linkii;(Danthonia linkii)
DANTH_SPI;Danthonia spicata (L.) P. Beauv. ex Roem. & Schult.;(Danthonia spicata (L.) P. Beauv. ex Roem. & Schult.)
DAPHI;Daphniphyllum Blume;(Daphniphyllum Blume)
DAPHI_MAC;Daphniphyllum macropodum Miq.;(Daphniphyllum macropodum Miq.)
DAPHN;Daphne L.;(Daphne L.)
DAPHN_BHO;Daphne bholua Buch.-Ham. ex D. Don;(Daphne bholua Buch.-Ham. ex D. Don)
DAPHN_BOD;Hybrids between Daphne bholua and Daphne odora;(Hybrids between Daphne bholua and Daphne odora)
DAPHN_BUR;Daphne ?burkwoodii Turrill;(Daphne ?burkwoodii Turrill)
DAPHN_CNE;Daphne cneorum L.;(Daphne cneorum L.)
DAPHN_LAU;Daphne laureola L.;(Daphne laureola L.)
DAPHN_MEZ;Daphne mezereum L.;(Daphne mezereum L.)
DAPHN_NAP;Daphne ?napolitana hort. Lodd.;(Daphne ?napolitana hort. Lodd.)
DAPHN_ODO;Daphne odora Thunb.;(Daphne odora Thunb.)
DAPHN_PET;Daphne petraea Leyb.;(Daphne petraea Leyb.)
DAPHN_SUS;Daphne ?susannae C. D. Brickell;(Daphne ?susannae C. D. Brickell)
DAPHN_TAN;Daphne tangutica Maxim.;(Daphne tangutica Maxim.)
DAPHN_TRA;Daphne ?transatlantica C. D. Brickell & A. R. White;(Daphne ?transatlantica C. D. Brickell & A. R. White)
